algo,n,capacity,time_ms,total_value,total_weight,status
backtrack,4000,100000,5.978,783425.74,100000,ok
backtrack,5000,100000,8.000,884815.18,100000,ok
backtrack,6000,100000,8.375,970495.89,100000,ok
backtrack,7000,100000,10.601,1051489.28,100000,ok
backtrack,8000,100000,10.229,1119539.78,100000,ok
backtrack,9000,100000,11.217,1185235.25,100000,ok
backtrack,10000,100000,14.348,1248333.01,100000,ok
backtrack,20000,100000,26.129,1754216.04,100000,ok
backtrack,40000,100000,50.917,2438770.44,100000,ok
backtrack,80000,100000,87.304,3431172.51,100000,ok
backtrack,160000,100000,195.482,4799054.28,100000,ok
backtrack,320000,100000,-1.000,-1.00,-1,ok
backtrack,1000,1000000,0.704,262058.70,50296,ok
backtrack,2000,1000000,2.690,525181.75,102248,ok
backtrack,3000,1000000,5.944,790405.97,153285,ok
backtrack,4000,1000000,10.558,1052945.46,203395,ok
backtrack,5000,1000000,16.174,1321467.67,252647,ok
backtrack,6000,1000000,23.404,1585925.45,302662,ok
backtrack,7000,1000000,31.742,1858459.58,353114,ok
backtrack,8000,1000000,41.408,2118949.06,404256,ok
backtrack,9000,1000000,52.408,2386059.72,455515,ok
backtrack,10000,1000000,64.540,2649359.34,506474,ok
backtrack,20000,1000000,293.801,5274835.62,1000000,ok
backtrack,40000,1000000,-1.000,-1.00,-1,ok
backtrack,80000,1000000,-1.000,-1.00,-1,ok
backtrack,160000,1000000,-1.000,-1.00,-1,ok
backtrack,320000,1000000,-1.000,-1.00,-1,ok
